X1,X2,X3,X4,X5,X6,y
68.59,2,GBCA,right pelvis,26201,3.1,0.012153507
86.497,2,GBCA,right pelvis,26608,2.9,0.33713046
120.509,2,GBCA,right pelvis,26599,3.22,0.954381598
138.339,2,GBCA,right pelvis,26285,2.7,1.277961152
76.195,2,GBCA,right pelvis,26684,3.52,0.150169352
73.445,2,GBCA,right pelvis,26375,3.23,0.100262242
82.573,3,GBCA,right pelvis,26201,3.1,0.265917551
142.272,3,GBCA,right pelvis,26608,2.9,1.349337393
236.141,3,GBCA,right pelvis,26599,3.22,3.052875763
232.271,3,GBCA,right pelvis,26285,2.7,2.982642848
115.995,3,GBCA,right pelvis,26684,3.52,0.872461345
112.055,3,GBCA,right pelvis,26375,3.23,0.800958067
173.023,4,GBCA,right pelvis,26201,3.1,1.907407772
239.662,4,GBCA,right pelvis,26608,2.9,3.116775012
144.245,4,GBCA,right pelvis,26599,3.22,1.385143476
140.424,4,GBCA,right pelvis,26285,2.7,1.315799815
152.411,4,GBCA,right pelvis,26684,3.52,1.533340371
195.074,4,GBCA,right pelvis,26375,3.23,2.307590203
159.86,5,GBCA,right pelvis,26201,3.1,1.668525121
163,5,GBCA,right pelvis,26599,3.22,1.725509967
140.017,5,GBCA,right pelvis,26285,2.7,1.308413563
193.092,5,GBCA,right pelvis,26684,3.52,2.271620788
153.285,5,GBCA,right pelvis,26375,3.23,1.549201758
65.573,1,AGUIX,right pelvis,26201,3.1,0.000266667
78.459,1,AGUIX,right pelvis,26608,2.9,0.000382166
73.622,1,AGUIX,right pelvis,26599,3.22,0.06173228
65.03,1,AGUIX,right pelvis,26285,2.7,0.05636364
81.961,1,AGUIX,right pelvis,26375,3.23,0.001576355
77.175,2,AGUIX,right pelvis,26201,3.1,0.07320755
77.585,2,AGUIX,right pelvis,26608,2.9,0.08721088
95.022,2,AGUIX,right pelvis,26599,3.22,0.3331852
88.25,2,AGUIX,right pelvis,26285,2.7,0.3822549
82.611,2,AGUIX,right pelvis,26684,3.52,0.1215929
106.736,2,AGUIX,right pelvis,26375,3.23,0.2859434
111.014,3,AGUIX,right pelvis,26201,3.1,0.5986792
130.517,3,AGUIX,right pelvis,26608,2.9,1.026395
231.244,3,AGUIX,right pelvis,26599,3.22,3.051556
100.02,3,AGUIX,right pelvis,26285,2.7,0.7026471
185.531,3,AGUIX,right pelvis,26684,3.52,1.953451
207.443,3,AGUIX,right pelvis,26375,3.23,2.127358
